Names,Category,risk_level,min_investment,return_rate
JSWENERGY,Stock,2,5000,2.20%
IRFC,Stock,2,5000,2.19%
HUDCO,Stock,2,5000,2.18%
RITES,Stock,2,5000,2.16%
HAL,Stock,2,5000,2.15%
VGUARD,Stock,2,5000,2.14%
ENGINERSIN,Stock,2,5000,2.13%
CAMPUS,Stock,2,5000,2.13%
ZFCVINDIA,Stock,2,5000,2.12%
KFINTECH,Stock,2,5000,2.11%
CLEAN,Stock,2,5000,2.09%
CIPLA,Stock,2,5000,2.07%
KALYANKJIL,Stock,2,5000,2.05%
GRINFRA,Stock,2,5000,2.05%
ABBOTINDIA,Stock,2,5000,1.99%
APLLTD,Stock,2,5000,1.99%
PNCINFRA,Stock,2,5000,1.98%
TRIDENT,Stock,2,5000,1.95%
BEML,Stock,2,5000,1.92%
LALPATHLAB,Stock,2,5000,1.92%
SUMICHEM,Stock,2,5000,1.92%
SUVENPHAR,Stock,2,5000,1.92%
GRSE,Stock,2,5000,1.91%
APTUS,Stock,2,5000,1.91%
FACT,Stock,2,5000,1.89%
COCHINSHIP,Stock,2,5000,1.87%
SAIL,Stock,2,5000,1.86%
JYOTICNC,Stock,2,5000,1.85%
BEL,Stock,2,5000,1.83%
BALAMINES,Stock,2,5000,1.82%
DRREDDY,Stock,2,5000,1.81%
COROMANDEL,Stock,2,5000,1.81%
CHAMBLFERT,Stock,2,5000,1.80%
SHREECEM,Stock,2,5000,1.80%
POLYMED,Stock,2,5000,1.79%
AJANTPHARM,Stock,2,5000,1.76%
JPPOWER,Stock,2,5000,1.76%
NHPC,Stock,2,5000,1.74%
IREDA,Stock,2,5000,1.74%
UNOMINDA,Stock,2,5000,1.71%
FINPIPE,Stock,2,5000,1.71%
AARTIIND,Stock,2,5000,1.69%
CHEMPLASTS,Stock,2,5000,1.69%
CHOLAHLDNG,Stock,2,5000,1.68%
HINDZINC,Stock,2,5000,1.68%
ATGL,Stock,2,5000,1.67%
GSFC,Stock,2,5000,1.65%
PRESTIGE,Stock,2,5000,1.63%
MEDANTA,Stock,2,5000,1.63%
CERA,Stock,2,5000,1.62%
INDUSINDBK,Stock,2,5000,1.61%
ALKYLAMINE,Stock,2,5000,1.60%
BHARTIHEXA,Stock,2,5000,1.58%
ROUTE,Stock,2,5000,1.57%
CIEINDIA,Stock,2,5000,1.57%
APARINDS,Stock,2,5000,1.56%
AUROPHARMA,Stock,2,5000,1.55%
INDIANB,Stock,2,5000,1.55%
LT,Stock,2,5000,1.55%
TATACOMM,Stock,2,5000,1.54%
BAYERCROP,Stock,2,5000,1.53%
BAJAJ-AUTO,Stock,2,5000,1.52%
GODREJAGRO,Stock,2,5000,1.51%
HONASA,Stock,2,5000,1.51%
GICRE,Stock,2,5000,1.48%
ZYDUSLIFE,Stock,2,5000,1.48%
IFCI,Stock,2,5000,1.48%
MRPL,Stock,2,5000,1.47%
GUJGASLTD,Stock,2,5000,1.47%
PFIZER,Stock,2,5000,1.47%
NAUKRI,Stock,2,5000,1.47%
ANANDRATHI,Stock,2,5000,1.47%
COALINDIA,Stock,2,5000,1.46%
JSWSTEEL,Stock,2,5000,1.46%
IDBI,Stock,2,5000,1.44%
SIEMENS,Stock,2,5000,1.43%
NTPC,Stock,2,5000,1.43%
LATENTVIEW,Stock,2,5000,1.43%
SONACOMS,Stock,2,5000,1.39%
ASHOKLEY,Stock,2,5000,1.39%
NETWORK18,Stock,2,5000,1.38%
IGL,Stock,2,5000,1.37%
TATAINVEST,Stock,2,5000,1.37%
RTNINDIA,Stock,2,5000,1.36%
RECLTD,Stock,2,5000,1.36%
ASAHIINDIA,Stock,2,5000,1.35%
M&M,Stock,2,5000,1.35%
SCI,Stock,2,5000,1.34%
BHARTIARTL,Stock,2,5000,1.34%
NIACL,Stock,2,5000,1.33%
JINDALSTEL,Stock,2,5000,1.33%
OBEROIRLTY,Stock,2,5000,1.32%
CENTRALBK,Stock,2,5000,1.31%
MMTC,Stock,2,5000,1.31%
SUNDRMFAST,Stock,2,5000,1.30%
3MINDIA,Stock,2,5000,1.29%
HINDPETRO,Stock,2,5000,1.29%
BANKBARODA,Stock,2,5000,1.28%
CONCOR,Stock,2,5000,1.27%
AEGISLOG,Stock,2,5000,1.27%
TECHM,Stock,2,5000,1.27%
MAHLIFE,Stock,2,5000,1.26%
NBCC,Stock,2,5000,1.24%
KNRCON,Stock,2,5000,1.21%
TATACHEM,Stock,2,5000,1.20%
CHENNPETRO,Stock,2,5000,1.19%
CYIENT,Stock,2,5000,1.17%
RADICO,Stock,2,5000,1.17%
ZEEL,Stock,2,5000,1.17%
ADANIPORTS,Stock,2,5000,1.17%
ERIS,Stock,2,5000,1.16%
RAYMOND,Stock,2,5000,1.14%
FIVESTAR,Stock,2,5000,1.13%
BOSCHLTD,Stock,2,5000,1.13%
TVSSCS,Stock,2,5000,1.11%
FINCABLES,Stock,2,5000,1.11%
KEC,Stock,2,5000,1.10%
TATACONSUM,Stock,2,5000,1.09%
JUBLPHARMA,Stock,2,5000,1.09%
VINATIORGA,Stock,2,5000,1.08%
BAJAJFINSV,Stock,2,5000,1.07%
EICHERMOT,Stock,2,5000,1.06%
PCBL,Stock,2,5000,1.06%
UBL,Stock,2,5000,1.05%
BRITANNIA,Stock,2,5000,1.05%
BATAINDIA,Stock,2,5000,1.04%
NAVINFLUOR,Stock,2,5000,1.04%
REDINGTON,Stock,2,5000,1.03%
EIHOTEL,Stock,2,5000,1.03%
GODIGIT,Stock,2,5000,1.02%
OIL,Stock,2,5000,1.02%
DBREALTY,Stock,2,5000,1.01%
IOB,Stock,2,5000,1.00%
GNFC,Stock,2,5000,0.99%
ELGIEQUIP,Stock,2,5000,0.99%
MAHSEAMLES,Stock,2,5000,0.99%
M&MFIN,Stock,2,5000,0.98%
ENDURANCE,Stock,2,5000,0.98%
MINDACORP,Stock,2,5000,0.97%
ADANIENSOL,Stock,2,5000,0.95%
PIIND,Stock,2,5000,0.94%
VTL,Stock,2,5000,0.94%
HEROMOTOCO,Stock,2,5000,0.93%
MAZDOCK,Stock,2,5000,0.93%
VEDL,Stock,2,5000,0.93%
KAJARIACER,Stock,2,5000,0.91%
BANKINDIA,Stock,2,5000,0.91%
MANYAVAR,Stock,2,5000,0.91%
DEVYANI,Stock,2,5000,0.90%
LINDEINDIA,Stock,2,5000,0.89%
HAVELLS,Stock,2,5000,0.88%
ATUL,Stock,2,5000,0.88%
GODFRYPHLP,Stock,2,5000,0.88%
RHIM,Stock,2,5000,0.87%
HAPPSTMNDS,Stock,2,5000,0.85%
AAVAS,Stock,2,5000,0.83%
360ONE,Stock,2,5000,0.83%
MSUMI,Stock,2,5000,0.81%
DABUR,Stock,2,5000,0.81%
TIINDIA,Stock,2,5000,0.80%
NH,Stock,2,5000,0.79%
JSL,Stock,2,5000,0.79%
APOLLOHOSP,Stock,2,5000,0.79%
HDFCLIFE,Stock,2,5000,0.79%
ZENSARTECH,Stock,2,5000,0.79%
SPARC,Stock,2,5000,0.79%
RELIANCE,Stock,2,5000,0.78%
BPCL,Stock,2,5000,0.78%
ASTERDM,Stock,2,5000,0.78%
TATATECH,Stock,2,5000,0.77%
METROBRAND,Stock,2,5000,0.75%
KPIL,Stock,2,5000,0.75%
TVSMOTOR,Stock,2,5000,0.75%
ADANIENT,Stock,2,5000,0.74%
JUSTDIAL,Stock,2,5000,0.73%
ANGELONE,Stock,2,5000,0.72%
ARE&M,Stock,2,5000,0.71%
MASTEK,Stock,2,5000,0.71%
NESTLEIND,Stock,2,5000,0.71%
BIOCON,Stock,2,5000,0.70%
CELLO,Stock,2,5000,0.70%
SBILIFE,Stock,2,5000,0.70%
GLAND,Stock,2,5000,0.68%
UCOBANK,Stock,2,5000,0.68%
SUPREMEIND,Stock,2,5000,0.67%
IDEA,Stock,2,5000,0.67%
FLUOROCHEM,Stock,2,5000,0.65%
DIXON,Stock,2,5000,0.64%
ASIANPAINT,Stock,2,5000,0.64%
KIRLOSBROS,Stock,2,5000,0.64%
LICI,Stock,2,5000,0.63%
ASTRAL,Stock,2,5000,0.63%
ITC,Stock,2,5000,0.62%
HINDUNILVR,Stock,2,5000,0.62%
INDIAMART,Stock,2,5000,0.62%
HFCL,Stock,2,5000,0.61%
TATAPOWER,Stock,2,5000,0.61%
TTML,Stock,2,5000,0.61%
CGCL,Stock,2,5000,0.61%
CASTROLIND,Stock,2,5000,0.60%
GILLETTE,Stock,2,5000,0.60%
BIRLACORPN,Stock,2,5000,0.59%
CARBORUNIV,Stock,2,5000,0.59%
YESBANK,Stock,2,5000,0.58%
PRAJIND,Stock,2,5000,0.57%
NATIONALUM,Stock,2,5000,0.56%
CEATLTD,Stock,2,5000,0.55%
MARICO,Stock,2,5000,0.54%
TATASTEEL,Stock,2,5000,0.54%
TBOTEK,Stock,2,5000,0.53%
ALKEM,Stock,2,5000,0.52%
VBL,Stock,2,5000,0.52%
DIVISLAB,Stock,2,5000,0.52%
SHRIRAMFIN,Stock,2,5000,0.51%
VARROC,Stock,2,5000,0.50%
GLENMARK,Stock,2,5000,0.50%
BLS,Stock,2,5000,0.50%
MAHABANK,Stock,2,5000,0.50%
QUESS,Stock,2,5000,0.49%
MAXHEALTH,Stock,2,5000,0.49%
BSOFT,Stock,2,5000,0.48%
DEEPAKNTR,Stock,2,5000,0.47%
HCLTECH,Stock,2,5000,0.47%
TANLA,Stock,2,5000,0.46%
TCS,Stock,2,5000,0.43%
UNIONBANK,Stock,2,5000,0.43%
GRASIM,Stock,2,5000,0.43%
JIOFIN,Stock,2,5000,0.42%
NSLNISP,Stock,2,5000,0.41%
KIMS,Stock,2,5000,0.40%
SIGNATURE,Stock,2,5000,0.40%
LTTS,Stock,2,5000,0.40%
COLPAL,Stock,2,5000,0.39%
PNB,Stock,2,5000,0.39%
HDFCBANK,Stock,2,5000,0.39%
JSWINFRA,Stock,2,5000,0.38%
MANKIND,Stock,2,5000,0.38%
EIDPARRY,Stock,2,5000,0.37%
NAM-INDIA,Stock,2,5000,0.37%
NMDC,Stock,2,5000,0.36%
HOMEFIRST,Stock,2,5000,0.36%
NEWGEN,Stock,2,5000,0.36%
CENTURYPLY,Stock,2,5000,0.36%
INDIGO,Stock,2,5000,0.36%
ESCORTS,Stock,2,5000,0.36%
HSCL,Stock,2,5000,0.35%
SBIN,Stock,2,5000,0.35%
TITAN,Stock,2,5000,0.34%
ICICIPRULI,Stock,2,5000,0.34%
MRF,Stock,2,5000,0.32%
HDFCAMC,Stock,2,5000,0.32%
WELCORP,Stock,2,5000,0.32%
ADANIGREEN,Stock,2,5000,0.32%
AXISBANK,Stock,2,5000,0.31%
ELECON,Stock,2,5000,0.31%
ICICIGI,Stock,2,5000,0.29%
CREDITACC,Stock,2,5000,0.28%
CDSL,Stock,2,5000,0.28%
KOTAKBANK,Stock,2,5000,0.28%
GRAPHITE,Stock,2,5000,0.28%
LTF,Stock,2,5000,0.27%
ALOKINDS,Stock,2,5000,0.27%
BALKRISIND,Stock,2,5000,0.25%
GSPL,Stock,2,5000,0.25%
KARURVYSYA,Stock,2,5000,0.24%
KSB,Stock,2,5000,0.23%
RKFORGE,Stock,2,5000,0.23%
DMART,Stock,2,5000,0.22%
SBICARD,Stock,2,5000,0.22%
USHAMART,Stock,2,5000,0.22%
INTELLECT,Stock,2,5000,0.22%
MAPMYINDIA,Stock,2,5000,0.21%
PETRONET,Stock,2,5000,0.20%
LTIM,Stock,2,5000,0.20%
SUNDARMFIN,Stock,2,5000,0.19%
CAPLIPOINT,Stock,2,5000,0.16%
RAJESHEXPO,Stock,2,5000,0.16%
WIPRO,Stock,2,5000,0.16%
SAPPHIRE,Stock,2,5000,0.16%
NYKAA,Stock,2,5000,0.13%
NUVOCO,Stock,2,5000,0.10%
TRIVENI,Stock,2,5000,0.10%
CANBK,Stock,2,5000,0.09%
IPCALAB,Stock,2,5000,0.08%
ABCAPITAL,Stock,2,5000,0.08%
ABFRL,Stock,2,5000,0.07%
BLUEDART,Stock,2,5000,0.05%
SANOFI,Stock,2,5000,0.05%
DALBHARAT,Stock,2,5000,0.05%
KANSAINER,Stock,2,5000,0.04%
SUNPHARMA,Stock,2,5000,0.03%
OFSS,Stock,2,5000,0.02%
GLAXO,Stock,2,5000,0.02%
MARUTI,Stock,2,5000,0.01%
PNBHOUSING,Stock,2,5000,0.01%
LUPIN,Stock,2,5000,-%
ISEC,Stock,2,5000,-0.01%
BANDHANBNK,Stock,2,5000,-0.01%
TIMKEN,Stock,2,5000,-0.02%
ABREL,Stock,2,5000,-0.03%
SRF,Stock,2,5000,-0.03%
JUBLFOOD,Stock,2,5000,-0.04%
TORNTPHARM,Stock,2,5000,-0.04%
PGHH,Stock,2,5000,-0.05%
PIDILITIND,Stock,2,5000,-0.05%
MANAPPURAM,Stock,2,5000,-0.06%
GPIL,Stock,2,5000,-0.07%
CONCORDBIO,Stock,2,5000,-0.07%
TATAELXSI,Stock,2,5000,-0.09%
JKTYRE,Stock,2,5000,-0.10%
CUB,Stock,2,5000,-0.10%
AFFLE,Stock,2,5000,-0.10%
PPLPHARMA,Stock,2,5000,-0.10%
PATANJALI,Stock,2,5000,-0.11%
TRENT,Stock,2,5000,-0.11%
CGPOWER,Stock,2,5000,-0.12%
ANANTRAJ,Stock,2,5000,-0.14%
UNITDSPR,Stock,2,5000,-0.14%
APLAPOLLO,Stock,2,5000,-0.14%
FEDERALBNK,Stock,2,5000,-0.15%
TORNTPOWER,Stock,2,5000,-0.15%
ICICIBANK,Stock,2,5000,-0.18%
STARHEALTH,Stock,2,5000,-0.18%
EMAMILTD,Stock,2,5000,-0.18%
SCHNEIDER,Stock,2,5000,-0.19%
JINDALSAW,Stock,2,5000,-0.20%
BHEL,Stock,2,5000,-0.21%
INDHOTEL,Stock,2,5000,-0.22%
ULTRACEMCO,Stock,2,5000,-0.24%
SONATSOFTW,Stock,2,5000,-0.25%
CANFINHOME,Stock,2,5000,-0.26%
SBFC,Stock,2,5000,-0.30%
HEG,Stock,2,5000,-0.31%
ACE,Stock,2,5000,-0.32%
JYOTHYLAB,Stock,2,5000,-0.32%
CUMMINSIND,Stock,2,5000,-0.35%
APOLLOTYRE,Stock,2,5000,-0.35%
MFSL,Stock,2,5000,-0.35%
METROPOLIS,Stock,2,5000,-0.36%
SKFINDIA,Stock,2,5000,-0.37%
GMRAIRPORT,Stock,2,5000,-0.38%
AWL,Stock,2,5000,-0.38%
GODREJCP,Stock,2,5000,-0.38%
WELSPUNLIV,Stock,2,5000,-0.38%
DELHIVERY,Stock,2,5000,-0.39%
EQUITASBNK,Stock,2,5000,-0.40%
JMFINANCIL,Stock,2,5000,-0.40%
LICHSGFIN,Stock,2,5000,-0.41%
SUNTV,Stock,2,5000,-0.45%
AVANTIFEED,Stock,2,5000,-0.45%
NATCOPHARM,Stock,2,5000,-0.50%
POLICYBZR,Stock,2,5000,-0.51%
BAJAJHLDNG,Stock,2,5000,-0.53%
WESTLIFE,Stock,2,5000,-0.55%
PTCIL,Stock,2,5000,-0.56%
KEI,Stock,2,5000,-0.57%
SYNGENE,Stock,2,5000,-0.58%
JKCEMENT,Stock,2,5000,-0.58%
JKLAKSHMI,Stock,2,5000,-0.59%
RRKABEL,Stock,2,5000,-0.61%
INFY,Stock,2,5000,-0.63%
BLUESTARCO,Stock,2,5000,-0.65%
INOXWIND,Stock,2,5000,-0.65%
RENUKA,Stock,2,5000,-0.66%
RATNAMANI,Stock,2,5000,-0.66%
BBTC,Stock,2,5000,-0.68%
THERMAX,Stock,2,5000,-0.70%
PERSISTENT,Stock,2,5000,-0.73%
GPPL,Stock,2,5000,-0.73%
AADHARHFC,Stock,2,5000,-0.74%
BHARATFORG,Stock,2,5000,-0.76%
INDUSTOWER,Stock,2,5000,-0.78%
SWANENERGY,Stock,2,5000,-0.79%
GAEL,Stock,2,5000,-0.80%
EASEMYTRIP,Stock,2,5000,-0.81%
AIAENG,Stock,2,5000,-0.81%
FSL,Stock,2,5000,-0.82%
BASF,Stock,2,5000,-0.83%
ABSLAMC,Stock,2,5000,-0.84%
LEMONTREE,Stock,2,5000,-0.86%
MUTHOOTFIN,Stock,2,5000,-0.87%
ASTRAZEN,Stock,2,5000,-0.87%
CROMPTON,Stock,2,5000,-0.90%
PVRINOX,Stock,2,5000,-0.92%
RAMCOCEM,Stock,2,5000,-0.93%
LLOYDSME,Stock,2,5000,-0.93%
CHOLAFIN,Stock,2,5000,-0.96%
KPRMILL,Stock,2,5000,-0.98%
NUVAMA,Stock,2,5000,-1.03%
MCX,Stock,2,5000,-1.05%
ZOMATO,Stock,2,5000,-1.06%
POLYCAB,Stock,2,5000,-1.07%
VIPIND,Stock,2,5000,-1.11%
ADANIPOWER,Stock,2,5000,-1.15%
ACC,Stock,2,5000,-1.21%
MOTILALOFS,Stock,2,5000,-1.27%
CRISIL,Stock,2,5000,-1.28%
CCL,Stock,2,5000,-1.30%
BSE,Stock,2,5000,-1.33%
MOTHERSON,Stock,2,5000,-1.37%
CHALET,Stock,2,5000,-1.41%
AKUMS,Stock,2,5000,-1.46%
AMBER,Stock,2,5000,-1.47%
INDIACEM,Stock,2,5000,-1.49%
SAREGAMA,Stock,2,5000,-1.50%
PAYTM,Stock,2,5000,-1.51%
AUBANK,Stock,2,5000,-1.55%
INDGN,Stock,2,5000,-1.56%
COFORGE,Stock,2,5000,-1.56%
SAMMAANCAP,Stock,2,5000,-1.58%
UTIAMC,Stock,2,5000,-1.59%
IEX,Stock,2,5000,-1.70%
PAGEIND,Stock,2,5000,-1.88%
GMDCLTD,Stock,2,5000,-1.91%
ITCHOTELS,Stock,2,5000,-1.92%
SWSOLAR,Stock,2,5000,-1.92%
KAYNES,Stock,2,5000,-2.11%
MPHASIS,Stock,2,5000,-2.26%
ABB,Stock,2,5000,-2.39%
CRAFTSMAN,Stock,2,5000,-2.54%
POONAWALLA,Stock,2,5000,-2.73%
ECLERX,Stock,2,5000,-2.91%
AMBUJACEM,Stock,2,5000,-3.25%
CAMS,Stock,2,5000,-3.33%
TECHNOE,Stock,2,5000,-3.58%
BALRAMCHIN,Stock,2,5000,-4.41%
DEEPAKFERT,Stock,2,5000,-4.87%
TATAMOTORS,Stock,2,5000,-6.45%
VOLTAS,Stock,2,5000,-11.61%
WHIRLPOOL,Stock,2,5000,-20.00%
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Other - Mutual Fund,3,100,4.00%
Aditya Birla SL Arbitrage Fund,Hybrid - Mutual Fund,1,1000,5.60%
Aditya Birla SL Asset Allocator FoF-Dir Growth,Other - Mutual Fund,5,1000,2.00%
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Solution Oriented - Mutual Fund,6,1000,-0.70%
Aditya Birla SL Balanced Advantage Fund,Hybrid - Mutual Fund,6,100,4.50%
Aditya Birla SL Banking&Financial Services-DirGrowth,Equity - Mutual Fund,6,1000,5.30%
Aditya Birla SL Banking&PSU Debt Fund,Debt - Mutual Fund,3,1000,4.50%
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Equity - Mutual Fund,6,1000,-10.30%
Aditya Birla SL Corporate Bond Fund,Debt - Mutual Fund,2,100,4.90%
Aditya Birla SL Credit Risk Fund,Debt - Mutual Fund,4,100,8.70%
Aditya Birla SL Digital India Fund,Equity - Mutual Fund,6,1000,-14.60%
Aditya Birla SL Dividend Yield Fund,Equity - Mutual Fund,6,1000,6.20%
Aditya Birla SL Dynamic Bond Fund,Debt - Mutual Fund,3,1000,7.50%
Aditya Birla SL Equity Advantage Fund,Equity - Mutual Fund,6,1000,-9.90%
Aditya Birla SL Equity Hybrid ’95 Fund,Hybrid - Mutual Fund,6,100,-5.70%
Aditya Birla SL Equity Savings Fund,Hybrid - Mutual Fund,4,1000,0.80%
Aditya Birla SL Flexi Cap Fund,Equity - Mutual Fund,6,100,-2.10%
Aditya Birla SL Floating Rate Fund,Debt - Mutual Fund,2,1000,5.80%
Aditya Birla SL Focused Equity Fund,Equity - Mutual Fund,6,1000,-0.70%
Aditya Birla SL FP FoF – Aggressive – Direct Growth,Other - Mutual Fund,6,100,2.50%
Aditya Birla SL FP FoF – Conservative – Direct Growth,Other - Mutual Fund,4,100,4.70%
Aditya Birla SL FP FoF – Moderate – Direct Growth,Other - Mutual Fund,5,100,3.70%
Aditya Birla SL Frontline Equity Fund,Equity - Mutual Fund,6,100,1.60%
Aditya Birla SL Global Emerging Oppt Fund,Other - Mutual Fund,6,100,-5.70%
Aditya Birla SL Gold Fund,Other - Mutual Fund,5,100,11.80%
Aditya Birla SL Govt Securities Fund,Debt - Mutual Fund,3,1000,3.60%
Aditya Birla SL Income Fund,Debt - Mutual Fund,3,5000,3.50%
Aditya Birla SL India GenNext Fund,Equity - Mutual Fund,6,1000,4.60%
Aditya Birla SL Infrastructure Fund,Equity - Mutual Fund,6,1000,13.50%
Aditya Birla SL Inter Equity – Plan A-Direct Growth,Equity - Mutual Fund,6,1000,0.90%
Aditya Birla SL Inter Equity – Plan B-Direct Growth,Equity - Mutual Fund,6,1000,-4.10%
Aditya Birla SL Liquid Fund,Debt - Mutual Fund,3,500,5.70%
Aditya Birla SL Low Duration Fund,Debt - Mutual Fund,3,100,5.70%
Aditya Birla SL Manufacturing Equity Fund,Equity - Mutual Fund,6,1000,-2.90%
Aditya Birla SL Medium Term Plan – Direct Growth,Debt - Mutual Fund,4,1000,22.10%
Aditya Birla SL Midcap Fund,Equity - Mutual Fund,6,1000,-3.60%
Aditya Birla SL Money Manager Fund,Debt - Mutual Fund,3,1000,5.60%
Aditya Birla SL Nifty 50 Index Fund,Other - Mutual Fund,6,100,0.70%
Aditya Birla SL Overnight Fund,Debt - Mutual Fund,1,5000,5.40%
Aditya Birla SL Pure Value Fund,Equity - Mutual Fund,6,1000,3.00%
Aditya Birla SL Regular Savings Fund,Hybrid - Mutual Fund,4,500,3.60%
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,Solution Oriented - Mutual Fund,6,1000,0.00%
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,Solution Oriented - Mutual Fund,6,1000,-0.10%
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,Solution Oriented - Mutual Fund,4,1000,3.00%
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,Solution Oriented - Mutual Fund,3,1000,2.90%
Aditya Birla SL Savings Fund,Debt - Mutual Fund,3,1000,5.50%
Aditya Birla SL Short Term Fund,Debt - Mutual Fund,3,1000,5.50%
Aditya Birla SL Small Cap Fund,Equity - Mutual Fund,6,1000,-2.30%
Aditya Birla SL Tax Relief ’96 – Direct Growth,Equity - Mutual Fund,6,500,-3.00%
AXIS All Seasons Debt Fund,Other - Mutual Fund,4,5000,4.70%
AXIS Arbitrage Fund,Hybrid - Mutual Fund,1,500,5.60%
AXIS Balanced Advantage Fund,Hybrid - Mutual Fund,6,500,1.20%
AXIS Banking & PSU Debt Fund,Debt - Mutual Fund,3,5000,4.50%
AXIS Bluechip Fund,Equity - Mutual Fund,6,500,-6.10%
AXIS Children’s Gift Fund,Solution Oriented - Mutual Fund,6,5000,-6.50%
AXIS Corporate Debt Fund,Debt - Mutual Fund,3,5000,4.90%
AXIS Credit Risk Fund,Debt - Mutual Fund,4,5000,5.40%
AXIS Dynamic Bond Fund,Debt - Mutual Fund,3,5000,3.40%
AXIS Equity Hybrid Fund,Hybrid - Mutual Fund,6,500,-4.90%
AXIS Equity Saver Fund,Hybrid - Mutual Fund,4,500,1.40%
AXIS Flexi Cap Fund,Equity - Mutual Fund,6,500,-8.30%
AXIS Floater Fund,Debt - Mutual Fund,2,5000,5.80%
AXIS Focused 25 Fund,Equity - Mutual Fund,6,500,-14.70%
AXIS FTP – Series 104 – 1112Days,Debt - Mutual Fund,2,0,11.20%
AXIS FTP – Series 109 – 111Days,Debt - Mutual Fund,3,0,11.20%
AXIS Gilt Fund,Debt - Mutual Fund,3,5000,4.00%
AXIS Gold Fund,Other - Mutual Fund,5,5000,14.50%
AXIS Growth Opportunities Fund,Equity - Mutual Fund,6,500,-6.40%
AXIS Liquid Fund,Debt - Mutual Fund,2,500,5.70%
AXIS Long Term Equity Fund,Equity - Mutual Fund,6,500,-11.10%
AXIS Midcap Fund,Equity - Mutual Fund,6,500,-2.50%
AXIS Money Market Fund,Debt - Mutual Fund,2,5000,5.60%
AXIS Nifty 100 Index Fund,Other - Mutual Fund,6,500,-1.70%
AXIS Overnight Fund,Debt - Mutual Fund,1,500,5.40%
AXIS Regular Saver Fund,Hybrid - Mutual Fund,4,500,1.80%
AXIS Retirement Savings Fund,Solution Oriented - Mutual Fund,6,5000,-1.30%
AXIS Retirement Savings Fund,Solution Oriented - Mutual Fund,5,5000,-2.50%
AXIS Retirement Savings Fund,Solution Oriented - Mutual Fund,6,5000,-4.10%
